[0, 'Courtyard by Marriott Raipur', 'Raipur', '4,680', 'https://thumbnails.trvl-media.com/eE9z7pDtp1yjX_Bg5neHpTD4nUY=/455x235/smart/images.trvl-media.com/hotels/14000000/13400000/13396500/13396463/c2d22074_b.jpg', '4.8/5', 'Exceptional', '15']
[1, 'Hyatt Raipur', 'Viewed', '6,250', 'https://thumbnails.trvl-media.com/ogtUmbfUQd5cXKkVsVq2PGTW96k=/455x235/smart/images.trvl-media.com/hotels/8000000/7070000/7065500/7065412/38c7f465_b.jpg', '4.1/5', 'Very Good', '50']
[2, 'Courtyard by Marriott Raipur', 'Raipur', '4,680', 'https://thumbnails.trvl-media.com/gNYraClYJIVqrY3_nANKYV_e-lo=/455x235/smart/images.trvl-media.com/hotels/14000000/13400000/13396500/13396463/b1aa54ca_w.jpg', '4.8/5', 'Exceptional', '15']
[3, 'Hotel Sayaji Raipur', 'Viewed', '7,350', 'https://thumbnails.trvl-media.com/8BopfeA7_HctEpYJObkaJf2XKII=/1200x800/smart/images.trvl-media.com/hotels/19000000/18350000/18341000/18340918/c4bc0712_w.jpg', '4.0/5', 'Very Good', '8']
[4, 'Hyatt Raipur', 'Viewed', '6,250', 'https://thumbnails.trvl-media.com/CdV7xdS6tJV5XyBSUMUUjw438aA=/1200x800/smart/images.trvl-media.com/hotels/8000000/7070000/7065500/7065412/38c7f465_w.jpg', '4.1/5', 'Very Good', '50']
[5, 'Singhania Sarovar Portico', 'Viewed', '3,699', 'https://thumbnails.trvl-media.com/JOpjEtnpV-2AoadE8uQ_tTM1-Yc=/1200x800/smart/images.trvl-media.com/hotels/23000000/22200000/22196300/22196226/6366c4de_w.jpg', '4.5/5', 'Wonderful', '4']
[6, 'Hotel Babylon Inn', 'Viewed', '3,675', 'https://thumbnails.trvl-media.com/8hys69DaSuteA4B-6oJEKnBcGQw=/1200x800/smart/images.trvl-media.com/hotels/9000000/8830000/8821700/8821682/4dca0f0e_w.jpg', '4.3/5', 'Excellent', '6']
[7, 'OYO 6325 Hotel Kiran', 'Viewed', '2,804', 'https://thumbnails.trvl-media.com/DoPpGnIU3jgNRULoofWCN7sUdzs=/1200x800/smart/images.trvl-media.com/hotels/24000000/23180000/23172200/23172134/22d0d28b_w.jpg', '5/5', 'Excellent', 449]
[8, 'Hotel Piccadily Raipur', 'Viewed', '3,284', 'https://thumbnails.trvl-media.com/DFBMUSlCUtkYhBuVp3SWopCLIuc=/1200x800/smart/images.trvl-media.com/hotels/37000000/36690000/36690000/36689993/859392c2_w.jpg', '5/5', 'Excellent', 197]
[9, 'iStay Hotels Raipur Junction', 'Viewed', '2,101', 'https://thumbnails.trvl-media.com/V3K6ozgA5LMAzaLnoTDpQCAhe9k=/1200x800/smart/images.trvl-media.com/hotels/18000000/17790000/17786800/17786798/738d97a8_w.jpg', '4.0/5', 'Very Good', '1']
[10, 'Hotel Venkatesh International', 'Viewed', '50,000', 'https://thumbnails.trvl-media.com/cZNxlWjUVTHTH53ZkqXn9FBqPNU=/1200x800/smart/images.trvl-media.com/hotels/38000000/37110000/37103400/37103360/041a91e0_w.jpg', '4/5', 'Very Good', 205]
[11, 'Clarks Inn suites Raipur', 'Viewed', '5,300', 'https://thumbnails.trvl-media.com/nuf_yMBMv1CGfk9_Uvc8Brj93PQ=/1200x800/smart/images.trvl-media.com/hotels/36000000/35880000/35879700/35879613/944d39d0_w.jpg', '5/5', 'Very Good', '1']
[12, 'Hotel Grand Rajputana', 'Viewed', '2,499', 'https://thumbnails.trvl-media.com/f-7bovMMjzUI5aAU7pMpQOiLWSU=/1200x800/smart/images.trvl-media.com/hotels/20000000/19940000/19935400/19935311/ba1868eb_w.jpg', '5/5', 'Very Good', 416]
[13, 'Landmark Hotel', 'Viewed', '2,850', 'https://thumbnails.trvl-media.com/JwSsRk474eP9RO7Ji9fcz4Z2c8s=/1200x800/smart/images.trvl-media.com/hotels/38000000/37630000/37625300/37625256/168d14c7_w.jpg', '5/5', 'Very Good', 1466]
[14, 'SPOT ON 37254 Hotel Krishna', 'Viewed', '914', 'https://thumbnails.trvl-media.com/RxT1Rj2ajlMVDEd_f7ynSlzZkY8=/1200x800/smart/images.trvl-media.com/hotels/43000000/42580000/42573200/42573199/0a6469d7_w.jpg', '4/5', 'Very Good', 846]
[15, 'Le ROI Raipur', 'Viewed', '1,999', 'https://thumbnails.trvl-media.com/UjrFjmyDivsmGEeCKV4tBrYmLlo=/1200x800/smart/images.trvl-media.com/hotels/11000000/10990000/10984200/10984119/77ef0366_w.jpg', '4.3/5', 'Excellent', '7']
[16, 'Mayfair Lake Resort', 'Viewed', '7,000', 'https://thumbnails.trvl-media.com/0DrbcEqNYmcSVq61OEzqVsl9Fds=/1200x800/smart/images.trvl-media.com/hotels/34000000/33800000/33797900/33797883/f171c84b_w.jpg', '5/5', 'Excellent', 1177]
[17, 'OYO 27933 Hotel Green Valley', 'Viewed', '3,281', 'https://thumbnails.trvl-media.com/MbRwphfqMnsE2qT8_9MhpFP0gcE=/1200x800/smart/images.trvl-media.com/hotels/41000000/40160000/40152100/40152028/0bf2efc1_w.jpg', '5/5', 'Excellent', 174]
[18, 'Hotel Shamrock', 'Viewed', '2,600', 'https://images.trvl-media.com:443/hotels/4000000/3500000/3494500/3494475/372180e0_y.jpg', '3.7/5', 'Good', '6']
[19, 'Hotel Aditya', 'Viewed', '2,189', 'https://thumbnails.trvl-media.com/qvCk_UF2Gd5b4mv_Cer0FteqGT8=/1200x800/smart/images.trvl-media.com/hotels/36000000/35180000/35170600/35170506/aa16ec26_w.jpg', '5/5', 'Good', 943]
